datetime,count
2011-01-20 00:00:00,15.73
2011-01-20 01:00:00,6.83
2011-01-20 02:00:00,5.69
2011-01-20 03:00:00,3.44
2011-01-20 04:00:00,3.0
2011-01-20 05:00:00,6.97
2011-01-20 06:00:00,37.14
2011-01-20 07:00:00,91.36
2011-01-20 08:00:00,212.42
2011-01-20 09:00:00,120.78
2011-01-20 10:00:00,63.34
2011-01-20 11:00:00,62.99
2011-01-20 12:00:00,79.18
2011-01-20 13:00:00,68.06
2011-01-20 14:00:00,76.21
2011-01-20 15:00:00,83.75
2011-01-20 16:00:00,96.32
2011-01-20 17:00:00,182.72
2011-01-20 18:00:00,162.75
2011-01-20 19:00:00,106.56
2011-01-20 20:00:00,73.1
2011-01-20 21:00:00,48.28
2011-01-20 22:00:00,40.68
2011-01-20 23:00:00,23.97
2011-01-21 00:00:00,18.32
2011-01-21 01:00:00,7.03
2011-01-21 02:00:00,7.69
2011-01-21 03:00:00,3.41
2011-01-21 04:00:00,2.81
2011-01-21 05:00:00,5.95
2011-01-21 06:00:00,34.77
2011-01-21 07:00:00,87.3
2011-01-21 08:00:00,182.35
2011-01-21 09:00:00,118.06
2011-01-21 10:00:00,41.09
2011-01-21 11:00:00,53.85
2011-01-21 12:00:00,60.02
2011-01-21 13:00:00,60.48
2011-01-21 14:00:00,59.72
2011-01-21 15:00:00,54.57
2011-01-21 16:00:00,69.63
2011-01-21 17:00:00,143.36
2011-01-21 18:00:00,141.03
2011-01-21 19:00:00,104.9
2011-01-21 20:00:00,65.08
2011-01-21 21:00:00,43.52
2011-01-21 22:00:00,31.45
2011-01-21 23:00:00,18.41
2011-01-22 00:00:00,30.34
2011-01-22 01:00:00,17.4
2011-01-22 02:00:00,13.68
2011-01-22 03:00:00,14.04
2011-01-22 04:00:00,3.31
2011-01-22 06:00:00,6.65
2011-01-22 07:00:00,17.77
2011-01-22 08:00:00,29.16
2011-01-22 09:00:00,35.69
2011-01-22 10:00:00,54.04
2011-01-22 11:00:00,58.85
2011-01-22 12:00:00,65.49
2011-01-22 13:00:00,78.71
2011-01-22 14:00:00,75.82
2011-01-22 15:00:00,81.83
2011-01-22 16:00:00,80.64
2011-01-22 17:00:00,82.49
2011-01-22 18:00:00,68.43
2011-01-22 19:00:00,59.98
2011-01-22 20:00:00,46.29
2011-01-22 21:00:00,37.98
2011-01-22 22:00:00,29.95
2011-01-22 23:00:00,16.76
2011-01-23 00:00:00,32.86
2011-01-23 01:00:00,19.4
2011-01-23 02:00:00,15.49
2011-01-23 03:00:00,17.61
2011-01-23 05:00:00,2.83
2011-01-23 06:00:00,3.26
2011-01-23 07:00:00,13.42
2011-01-23 08:00:00,21.0
2011-01-23 09:00:00,26.34
2011-01-23 10:00:00,56.51
2011-01-23 11:00:00,65.0
2011-01-23 12:00:00,69.36
2011-01-23 13:00:00,68.1
2011-01-23 14:00:00,76.05
2011-01-23 15:00:00,77.51
2011-01-23 16:00:00,79.37
2011-01-23 17:00:00,83.81
2011-01-23 18:00:00,79.92
2011-01-23 19:00:00,69.74
2011-01-23 20:00:00,39.11
2011-01-23 21:00:00,30.03
2011-01-23 22:00:00,20.28
2011-01-23 23:00:00,14.95
2011-01-24 00:00:00,14.05
2011-01-24 01:00:00,5.72
2011-01-24 03:00:00,2.88
2011-01-24 04:00:00,2.69
2011-01-24 05:00:00,6.2
2011-01-24 06:00:00,34.71
2011-01-24 07:00:00,75.73
2011-01-24 08:00:00,164.27
2011-01-24 09:00:00,114.39
2011-01-24 10:00:00,40.48
2011-01-24 11:00:00,34.26
2011-01-24 12:00:00,36.21
2011-01-24 13:00:00,38.03
2011-01-24 14:00:00,37.11
2011-01-24 15:00:00,50.11
2011-01-24 16:00:00,57.31
2011-01-24 17:00:00,134.58
2011-01-24 18:00:00,133.34
2011-01-24 19:00:00,97.97
2011-01-24 20:00:00,65.54
2011-01-24 21:00:00,42.87
2011-01-24 22:00:00,25.32
2011-01-24 23:00:00,18.23
2011-01-25 00:00:00,13.02
2011-01-25 01:00:00,5.61
2011-01-25 02:00:00,4.24
2011-01-25 04:00:00,2.41
2011-01-25 05:00:00,5.75
2011-01-25 06:00:00,35.78
2011-01-25 07:00:00,76.29
2011-01-25 08:00:00,164.27
2011-01-25 09:00:00,119.15
2011-01-25 10:00:00,50.99
2011-01-25 11:00:00,59.33
2011-01-25 12:00:00,62.38
2011-01-25 13:00:00,65.75
2011-01-25 14:00:00,75.59
2011-01-25 15:00:00,80.76
2011-01-25 16:00:00,102.99
2011-01-25 17:00:00,198.26
2011-01-25 18:00:00,186.0
2011-01-25 19:00:00,123.06
2011-01-25 20:00:00,75.49
2011-01-25 21:00:00,47.91
2011-01-25 22:00:00,37.23
2011-01-25 23:00:00,19.54
2011-01-26 00:00:00,13.8
2011-01-26 01:00:00,6.78
2011-01-26 02:00:00,4.61
2011-01-26 05:00:00,5.24
2011-01-26 06:00:00,28.04
2011-01-26 07:00:00,77.78
2011-01-26 08:00:00,143.82
2011-01-26 09:00:00,92.69
2011-01-26 10:00:00,46.11
2011-01-26 11:00:00,43.55
2011-01-26 12:00:00,40.92
2011-01-26 13:00:00,44.66
2011-01-26 14:00:00,43.85
2011-01-26 15:00:00,45.0
2011-01-26 16:00:00,55.71
2011-01-26 17:00:00,114.06
2011-01-27 16:00:00,67.06
2011-01-27 17:00:00,148.9
2011-01-27 18:00:00,133.84
2011-01-27 19:00:00,107.41
2011-01-27 20:00:00,74.45
2011-01-27 21:00:00,44.73
2011-01-27 22:00:00,37.05
2011-01-27 23:00:00,22.29
2011-01-28 00:00:00,15.6
2011-01-28 01:00:00,7.56
2011-01-28 02:00:00,5.16
2011-01-28 03:00:00,3.09
2011-01-28 05:00:00,7.22
2011-01-28 06:00:00,34.17
2011-01-28 07:00:00,75.36
2011-01-28 08:00:00,164.2
2011-01-28 09:00:00,84.11
2011-01-28 10:00:00,37.26
2011-01-28 11:00:00,39.54
2011-01-28 12:00:00,41.23
2011-01-28 13:00:00,44.96
2011-01-28 14:00:00,49.47
2011-01-28 15:00:00,49.63
2011-01-28 16:00:00,66.02
2011-01-28 17:00:00,146.42
2011-01-28 18:00:00,138.09
2011-01-28 19:00:00,107.38
2011-01-28 20:00:00,75.18
2011-01-28 21:00:00,45.1
2011-01-28 22:00:00,39.57
2011-01-28 23:00:00,24.47
2011-01-29 00:00:00,33.32
2011-01-29 01:00:00,20.81
2011-01-29 02:00:00,16.56
2011-01-29 03:00:00,15.95
2011-01-29 04:00:00,2.97
2011-01-29 06:00:00,5.05
2011-01-29 07:00:00,13.9
2011-01-29 08:00:00,28.69
2011-01-29 09:00:00,38.92
2011-01-29 10:00:00,58.79
2011-01-29 11:00:00,59.88
2011-01-29 12:00:00,68.5
2011-01-29 13:00:00,79.65
2011-01-29 14:00:00,77.03
2011-01-29 15:00:00,77.02
2011-01-29 16:00:00,86.73
2011-01-29 17:00:00,85.33
2011-01-29 18:00:00,77.87
2011-01-29 19:00:00,73.83
2011-01-29 20:00:00,52.77
2011-01-29 21:00:00,36.27
2011-01-29 22:00:00,30.28
2011-01-29 23:00:00,19.68
2011-01-30 00:00:00,34.21
2011-01-30 01:00:00,23.39
2011-01-30 02:00:00,18.33
2011-01-30 03:00:00,14.93
2011-01-30 04:00:00,4.16
2011-01-30 05:00:00,3.23
2011-01-30 07:00:00,9.44
2011-01-30 08:00:00,21.09
2011-01-30 09:00:00,30.13
2011-01-30 10:00:00,60.91
2011-01-30 11:00:00,69.89
2011-01-30 12:00:00,106.6
2011-01-30 13:00:00,86.92
2011-01-30 14:00:00,93.6
2011-01-30 15:00:00,115.94
2011-01-30 16:00:00,113.82
2011-01-30 17:00:00,82.24
2011-01-30 18:00:00,77.41
2011-01-30 19:00:00,70.51
2011-01-30 20:00:00,52.93
2011-01-30 21:00:00,30.8
2011-01-30 22:00:00,21.63
2011-01-30 23:00:00,16.35
2011-01-31 00:00:00,15.43
2011-01-31 01:00:00,5.22
2011-01-31 02:00:00,4.52
2011-01-31 03:00:00,3.14
2011-01-31 04:00:00,2.81
2011-01-31 05:00:00,4.22
2011-01-31 06:00:00,35.42
2011-01-31 07:00:00,73.62
2011-01-31 08:00:00,146.09
2011-01-31 09:00:00,96.75
2011-01-31 10:00:00,36.36
2011-01-31 11:00:00,36.35
2011-01-31 12:00:00,42.21
2011-01-31 13:00:00,50.48
2011-01-31 14:00:00,40.64
2011-01-31 15:00:00,42.85
2011-01-31 16:00:00,54.87
2011-01-31 17:00:00,134.6
2011-01-31 18:00:00,132.91
2011-01-31 19:00:00,133.96
2011-01-31 20:00:00,69.94
2011-01-31 21:00:00,43.71
2011-01-31 22:00:00,29.2
2011-01-31 23:00:00,17.73
2011-02-20 00:00:00,37.87
2011-02-20 01:00:00,21.48
2011-02-20 02:00:00,15.79
2011-02-20 03:00:00,15.49
2011-02-20 04:00:00,2.56
2011-02-20 06:00:00,4.35
2011-02-20 07:00:00,14.51
2011-02-20 08:00:00,26.87
2011-02-20 09:00:00,42.74
2011-02-20 10:00:00,95.68
2011-02-20 11:00:00,113.86
2011-02-20 12:00:00,130.08
2011-02-20 13:00:00,149.9
2011-02-20 14:00:00,136.9
2011-02-20 15:00:00,147.98
2011-02-20 16:00:00,148.3
2011-02-20 17:00:00,102.55
2011-02-20 18:00:00,93.04
2011-02-20 19:00:00,93.5
2011-02-20 20:00:00,75.8
2011-02-20 21:00:00,58.11
2011-02-20 22:00:00,51.19
2011-02-20 23:00:00,38.4
2011-02-21 00:00:00,20.57
2011-02-21 01:00:00,15.98
2011-02-21 02:00:00,11.06
